Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead,admin_name,capital,population,population_proper
Uijeongbu,37.7486,127.0389,42157.9,8431.58,4215.79,42157.9,337.2632,Gyeonggi,,421579,421579
Paju,37.8328,126.8169,41534.5,8306.9,4153.45,41534.5,332.276,Gyeonggi,minor,415345,415345
Gimpo,37.6236,126.7142,35268.3,7053.66,3526.83,35268.3,282.1464,Gyeonggi,minor,352683,352683
Yeosu,34.7368,127.7458,26229,5245.8,2622.9,26229,209.832,Jeonnam,minor,341994,262290
Chinju,35.1928,128.0847,33723,6744.6,3372.3,33723,269.784,Gyeongnam,,337230,337230
Wŏnju,37.3417,127.9208,33085.4,6617.08,3308.54,33085.4,264.6832,Gangwon,,330854,330854
Asan,36.35,126.9167,31992.9,6398.58,3199.29,31992.9,255.9432,Chungnam,,319929,319929
Gwangmyeongni,37.4772,126.8664,31802.1,6360.42,3180.21,31802.1,254.4168,Gyeonggi,,318021,318021
Iksan,35.9439,126.9544,30231,6046.2,3023.1,30231,241.848,Jeonbuk,,302310,302310
Yangsan,35.3386,129.0386,29753.2,5950.64,2975.32,29753.2,238.0256,Gyeongnam,minor,297532,297532
Kunp’o,37.3675,126.9469,28572.1,5714.42,2857.21,28572.1,228.5768,Gyeonggi,,285721,285721
Chuncheon,37.8747,127.7342,28159.6,5631.92,2815.96,28159.6,225.2768,Gangwon,admin,281596,281596
Gyeongsan,35.8167,128.7333,27850,5570,2785,27850,222.8,Gyeongbuk,,278500,278500
Kunsan,35.9786,126.7114,27515.5,5503.1,2751.55,27515.5,220.124,Jeonbuk,,275155,275155
Yeosu,34.7607,127.6622,27376.1,5475.22,2737.61,27376.1,219.0088,Jeonnam,minor,273761,273761
Suncheon,34.9506,127.4875,26539,5307.8,2653.9,26539,212.312,Jeonnam,minor,265390,265390
Kyŏngju,35.85,129.2167,26409.1,5281.82,2640.91,26409.1,211.2728,Gyeongbuk,,264091,264091
Mokpo,34.7936,126.3886,23952.4,4790.48,2395.24,23952.4,191.6192,Jeonnam,minor,239524,239524
Gangneung,37.7556,128.8961,21567.7,4313.54,2156.77,21567.7,172.5416,Gangwon,minor,215677,215677
Osan,37.145,127.0694,21384,4276.8,2138.4,21384,171.072,Gyeonggi,,213840,213840
Chungju,36.9706,127.9322,21100.5,4220.1,2110.05,21100.5,168.804,Chungbuk,,211005,211005
Pocheon,37.8944,127.1992,16338.8,3267.76,1633.88,16338.8,130.7104,Gyeonggi,minor,163388,163388
Andong,36.5656,128.725,16218,3243.6,1621.8,16218,129.744,Gyeongbuk,admin,162180,162180
Gwangyang,34.9403,127.7017,15183.4,3036.68,1518.34,15183.4,121.4672,Jeonnam,minor,151834,151834
Boryeong,36.3333,126.6167,10185.2,2037.04,1018.52,10185.2,81.4816,Chungnam,minor,101852,101852
Sokcho,38.2087,128.5912,8543,1708.6,854.3,8543,0,Gangwon,minor,85430,85430
Dongnae,35.2016,129.0848,3000,1000,500,3000,0,Busan,minor,,
Jinjam,36.3003,127.3172,3000,1000,500,3000,0,Daejeon,minor,,
Sinan,34.8339,126.3513,3000,1000,500,3000,0,Jeonnam,minor,,
Apae,34.8669,126.3128,3000,1000,500,3000,0,Jeonnam,minor,,
Yuseong,36.3539,127.3367,3000,1000,500,3000,0,Daejeon,minor,,
Sejong,36.6092,127.2919,3000,1000,500,3000,0,Sejong,admin,,
Hongseong,36.6009,126.665,3000,1000,500,3000,0,Chungnam,admin,,
Muan,34.9897,126.4714,3000,1000,500,3000,0,Jeonnam,admin,,
Bakjagol,36.043,128.0484,3000,1000,500,3000,0,Gyeongbuk,admin,,
Jangheung,37.7173,126.9412,3000,1000,500,3000,0,Gyeonggi,minor,,
Onam,37.6983,127.2058,3000,1000,500,3000,0,Gyeonggi,minor,,
Su-dong,37.7035,127.3258,3000,1000,500,3000,0,Gyeonggi,minor,,
Wolgot,37.7165,126.5543,3000,1000,500,3000,0,Gyeonggi,minor,,
Haseong,37.7195,126.6311,3000,1000,500,3000,0,Gyeonggi,minor,,
Tongjin,37.6919,126.5986,3000,1000,500,3000,0,Gyeonggi,minor,,
Gwangjeok,37.8257,126.9835,3000,1000,500,3000,0,Gyeonggi,minor,,
Hamyeol,36.076,126.9641,3000,1000,500,3000,0,Jeonbuk,minor,,
Yongan,36.1196,126.9528,3000,1000,500,3000,0,Jeonbuk,minor,,
Gwangtan,37.7805,126.85,3000,1000,500,3000,0,Gyeonggi,minor,,
Beobwon,37.849,126.8753,3000,1000,500,3000,0,Gyeonggi,minor,,
Tanhyeon,37.8024,126.716,3000,1000,500,3000,0,Gyeonggi,minor,,
Oepo,34.9404,128.7167,3000,1000,500,3000,0,Gyeongnam,minor,,
Jangan,35.313,129.2424,3000,1000,500,3000,0,Busan,minor,,
Gijang,35.2442,129.2139,3000,1000,500,3000,0,Busan,minor,,
Ilgwang,35.264,129.2335,3000,1000,500,3000,0,Busan,minor,,
Sangwol,36.2948,127.1409,3000,1000,500,3000,0,Chungnam,minor,,
Sora,34.7935,127.6324,3000,1000,500,3000,0,Jeonnam,minor,,
Yulchon,34.8823,127.5786,3000,1000,500,3000,0,Jeonnam,minor,,
Hwayang,34.7085,127.6134,3000,1000,500,3000,0,Jeonnam,minor,,
Daehap,35.6137,128.4717,3000,1000,500,3000,0,Gyeongnam,minor,,
Singwang,36.1291,129.2636,3000,1000,500,3000,0,Gyeongbuk,minor,,
Cheongha,36.198,129.3391,3000,1000,500,3000,0,Gyeongbuk,minor,,
Heunghae,36.1094,129.3452,3000,1000,500,3000,0,Gyeongbuk,minor,,
Guryongpo,35.9899,129.5538,3000,1000,500,3000,0,Gyeongbuk,minor,,
Ocheon,35.9705,129.4122,3000,1000,500,3000,0,Gyeongbuk,minor,,
Hyeonpung,35.6956,128.4461,3000,1000,500,3000,0,Daegu,minor,,
Ongnyong,35.0177,127.6193,3000,1000,500,3000,0,Jeonnam,minor,,
Okgok,34.9903,127.6987,3000,1000,500,3000,0,Jeonnam,minor,,
Jinwol,34.9791,127.7581,3000,1000,500,3000,0,Jeonnam,minor,,
Bonggang,35.0117,127.5813,3000,1000,500,3000,0,Jeonnam,minor,,
Jinsang,35.0212,127.7198,3000,1000,500,3000,0,Jeonnam,minor,,
Gwangyang,34.974,127.5809,3000,1000,500,3000,0,Jeonnam,minor,,
Juam,35.0773,127.235,3000,1000,500,3000,0,Jeonnam,minor,,
Seungju,35.0153,127.3897,3000,1000,500,3000,0,Jeonnam,minor,,
Haeryong,34.9141,127.5376,3000,1000,500,3000,0,Jeonnam,minor,,
Sangsa,34.9394,127.4552,3000,1000,500,3000,0,Jeonnam,minor,,
Oeseo,34.9142,127.2773,3000,1000,500,3000,0,Jeonnam,minor,,
Byeollyang,34.8748,127.4516,3000,1000,500,3000,0,Jeonnam,minor,,
Songgwang,34.975,127.2638,3000,1000,500,3000,0,Jeonnam,minor,,
Dongnae,37.8475,127.7616,3000,1000,500,3000,0,Gangwon,minor,,
Sindong,37.8173,127.7166,3000,1000,500,3000,0,Gangwon,minor,,
Gampo,35.8054,129.5011,3000,1000,500,3000,0,Gyeongbuk,minor,,
Waegwan,35.9925,128.3979,3000,1000,500,3000,0,Gyeongbuk,minor,,
Gujeong,37.719,128.8799,3000,1000,500,3000,0,Gangwon,minor,,
Gangdong,37.729,128.9542,3000,1000,500,3000,0,Gangwon,minor,,
Jinjeop,37.7272,127.1899,3000,1000,500,3000,0,Gyeonggi,minor,,
Illo,34.8526,126.4895,3000,1000,500,3000,0,Jeonnam,minor,,
Haeje,35.1107,126.2946,3000,1000,500,3000,0,Jeonnam,minor,,
Chilbo,35.6032,126.9934,3000,1000,500,3000,0,Jeonbuk,minor,,
Sannae,35.5678,127.0301,3000,1000,500,3000,0,Jeonbuk,minor,,
Biin,36.1403,126.603,3000,1000,500,3000,0,Chungnam,minor,,
Ganghwa,37.7472,126.4856,3000,1000,500,3000,0,Incheon,minor,,
Seonwon,37.7122,126.4844,3000,1000,500,3000,0,Incheon,minor,,
Samsan,37.7031,126.3214,3000,1000,500,3000,0,Incheon,minor,,
Gyodong,37.7827,126.2812,3000,1000,500,3000,0,Incheon,minor,,
Hajeom,37.7742,126.4123,3000,1000,500,3000,0,Incheon,minor,,
Yangsa,37.7987,126.408,3000,1000,500,3000,0,Incheon,minor,,
Songhae,37.7636,126.4658,3000,1000,500,3000,0,Gyeonggi,minor,,
Naju,35.0292,126.7175,3000,1000,500,3000,0,Jeonnam,minor,,
Bannam,34.9044,126.6518,3000,1000,500,3000,0,Jeonnam,minor,,
Seji,34.9201,126.7494,3000,1000,500,3000,0,Jeonnam,minor,,
Sangju,34.7242,127.9852,3000,1000,500,3000,0,Gyeongnam,minor,,
Nammyeon,34.7725,127.8867,3000,1000,500,3000,0,Gyeongnam,minor,,
Mijo,34.7128,128.046,3000,1000,500,3000,0,Gyeongnam,minor,,
Buyeo,36.2747,126.9091,3000,1000,500,3000,0,Chungnam,minor,,
Gyuam,36.2755,126.8842,3000,1000,500,3000,0,Chungnam,minor,,
Gunbuk,36.1678,127.5274,3000,1000,500,3000,0,Chungnam,minor,,
Deokjin,34.8195,126.6969,3000,1000,500,3000,0,Jeonnam,minor,,
Sijong,34.8689,126.6071,3000,1000,500,3000,0,Jeonnam,minor,,
Dopo,34.846,126.6437,3000,1000,500,3000,0,Jeonnam,minor,,
Yeongam,34.8006,126.6967,3000,1000,500,3000,0,Jeonnam,minor,,
Geumjeong,34.8635,126.7489,3000,1000,500,3000,0,Jeonnam,minor,,
Hongnong,35.3959,126.4453,3000,1000,500,3000,0,Jeonnam,minor,,
Gunnam,35.2403,126.4528,3000,1000,500,3000,0,Jeonnam,minor,,
Bulgap,35.2095,126.5077,3000,1000,500,3000,0,Jeonnam,minor,,
Yeomsan,35.2183,126.3719,3000,1000,500,3000,0,Jeonnam,minor,,
Yeonggwang,35.2781,126.5118,3000,1000,500,3000,0,Jeonnam,minor,,
Baeksu,35.284,126.4204,3000,1000,500,3000,0,Jeonnam,minor,,
Gunseo,35.2585,126.4752,3000,1000,500,3000,0,Jeonnam,minor,,
Beopseong,35.3627,126.4462,3000,1000,500,3000,0,Jeonnam,minor,,
Myoryang,35.2576,126.5432,3000,1000,500,3000,0,Jeonnam,minor,,
Okcheon,36.3012,127.568,3000,1000,500,3000,0,Chungbuk,minor,,
Gunbuk,36.3305,127.5337,3000,1000,500,3000,0,Chungbuk,minor,,
Annam,36.3568,127.6728,3000,1000,500,3000,0,Chungbuk,minor,,
Gunseo,36.2789,127.5269,3000,1000,500,3000,0,Chungbuk,minor,,
Cheongseong,36.3272,127.7598,3000,1000,500,3000,0,Chungbuk,minor,,
Iwon,36.2461,127.6196,3000,1000,500,3000,0,Chungbuk,minor,,
Dongi,36.2844,127.6199,3000,1000,500,3000,0,Chungbuk,minor,,
Changpyeong,35.239,127.0179,3000,1000,500,3000,0,Jeonnam,minor,,
Damyang,35.3189,126.9839,3000,1000,500,3000,0,Jeonnam,minor,,
Cheongsan,36.3465,127.7937,3000,1000,500,3000,0,Chungbuk,minor,,
Dongbok,35.07,127.1303,3000,1000,500,3000,0,Jeonnam,minor,,
Hancheolli,34.9741,127.0003,3000,1000,500,3000,0,Jeonnam,minor,,
Iyang,34.8895,126.9878,3000,1000,500,3000,0,Jeonnam,minor,,
Dongmyeon,35.0307,127.0384,3000,1000,500,3000,0,Jeonnam,minor,,
Cheongpung,34.8768,126.9703,3000,1000,500,3000,0,Jeonnam,minor,,
Nammyeon,35.0078,127.0962,3000,1000,500,3000,0,Jeonnam,minor,,
Hwasun,35.0613,126.9875,3000,1000,500,3000,0,Jeonnam,minor,,
Jeongok,38.026,127.0702,3000,1000,500,3000,0,Gyeonggi,minor,,
Yeoncheon,38.1011,127.0773,3000,1000,500,3000,0,Gyeonggi,minor,,
Hwanam,36.4487,127.906,3000,1000,500,3000,0,Gyeongbuk,minor,,
Haebo,35.1812,126.601,3000,1000,500,3000,0,Jeonnam,minor,,
Nasan,35.1145,126.6091,3000,1000,500,3000,0,Jeonnam,minor,,
Mujang,35.4196,126.5607,3000,1000,500,3000,0,Jeonbuk,minor,,
Haeri,35.4614,126.5391,3000,1000,500,3000,0,Jeonbuk,minor,,
Gongeum,35.3783,126.5114,3000,1000,500,3000,0,Jeonbuk,minor,,
Daesan,35.3417,126.6033,3000,1000,500,3000,0,Jeonbuk,minor,,
Daema,35.3018,126.5775,3000,1000,500,3000,0,Jeonnam,minor,,
Simwon,35.5245,126.5511,3000,1000,500,3000,0,Jeonbuk,minor,,
Sangha,35.4449,126.4952,3000,1000,500,3000,0,Jeonbuk,minor,,
Mungyeong,36.7353,128.1083,3000,1000,500,3000,0,Gyeongbuk,minor,,
Yongsan,36.2603,127.8285,3000,1000,500,3000,0,Chungbuk,minor,,
Cheongpyeong,37.7355,127.4174,3000,1000,500,3000,0,Gyeonggi,minor,,
Donggang,34.7801,127.3338,3000,1000,500,3000,0,Jeonnam,minor,,
Jeongnyang,35.0834,127.777,3000,1000,500,3000,0,Gyeongnam,minor,,
Geumseong,34.9645,127.7902,3000,1000,500,3000,0,Gyeongnam,minor,,
Hadong,35.068,127.7515,3000,1000,500,3000,0,Gyeongnam,minor,,
Jangseong,35.2978,126.7844,3000,1000,500,3000,0,Jeonnam,minor,,
Cheongyang,36.4516,126.8036,3000,1000,500,3000,0,Chungnam,minor,,
Cheongnam,36.3534,126.9523,3000,1000,500,3000,0,Chungnam,minor,,
Jangpyeong,36.3414,126.893,3000,1000,500,3000,0,Chungnam,minor,,
Yecheon,36.6574,128.4551,3000,1000,500,3000,0,Gyeongbuk,minor,,
Simcheon,36.2373,127.7225,3000,1000,500,3000,0,Chungbuk,minor,,
Yuchi,34.8025,126.839,3000,1000,500,3000,0,Jeonnam,minor,,
Jangheung,34.6816,126.9069,3000,1000,500,3000,0,Jeonnam,minor,,
Gyeombaek,34.8299,127.1518,3000,1000,500,3000,0,Jeonnam,minor,,
Nodong,34.798,127.0707,3000,1000,500,3000,0,Jeonnam,minor,,
Boseong,34.7715,127.08,3000,1000,500,3000,0,Jeonnam,minor,,
Mundeok,34.9297,127.1724,3000,1000,500,3000,0,Jeonnam,minor,,
Bongnae,34.8932,127.1313,3000,1000,500,3000,0,Jeonnam,minor,,
Yureo,34.871,127.187,3000,1000,500,3000,0,Jeonnam,minor,,
Miryeok,34.8013,127.0875,3000,1000,500,3000,0,Jeonnam,minor,,
Joseong,34.8092,127.2475,3000,1000,500,3000,0,Jeonnam,minor,,
Beolgyo,34.849,127.3405,3000,1000,500,3000,0,Jeonnam,minor,,
Hoenam,36.4445,127.5803,3000,1000,500,3000,0,Chungbuk,minor,,
Samseung,36.397,127.732,3000,1000,500,3000,0,Chungbuk,minor,,
Annae,36.3943,127.6603,3000,1000,500,3000,0,Chungbuk,minor,,
Byeonggok,35.5306,127.6815,3000,1000,500,3000,0,Gyeongnam,minor,,
Nagwol,35.2028,126.1376,3000,1000,500,3000,0,Jeonnam,minor,,
Imja,35.0846,126.1111,3000,1000,500,3000,0,Jeonnam,minor,,
Jido,35.0613,126.2075,3000,1000,500,3000,0,Jeonnam,minor,,
Palgeum,34.7857,126.1429,3000,1000,500,3000,0,Jeonnam,minor,,
Seolcheon,36.009,127.7901,3000,1000,500,3000,0,Jeonbuk,minor,,
Chupungnyeong,36.2171,127.9919,3000,1000,500,3000,0,Chungbuk,minor,,
Yonghwa,36.0213,127.7665,3000,1000,500,3000,0,Chungbuk,minor,,
Yeongdong,36.175,127.7764,3000,1000,500,3000,0,Chungbuk,minor,,
Haksan,36.0976,127.6844,3000,1000,500,3000,0,Chungbuk,minor,,
Hwanggan,36.2324,127.9083,3000,1000,500,3000,0,Chungbuk,minor,,
Donggye,35.4417,127.2426,3000,1000,500,3000,0,Jeonbuk,minor,,
Gurim,35.4536,127.1023,3000,1000,500,3000,0,Jeonbuk,minor,,
Ssangchi,35.502,127.0028,3000,1000,500,3000,0,Jeonbuk,minor,,
Ingye,35.4126,127.1414,3000,1000,500,3000,0,Jeonbuk,minor,,
Yeongdeok,36.4137,129.37,3000,1000,500,3000,0,Gyeongbuk,minor,,
Toseong,38.2568,128.5597,3000,1000,500,3000,0,Gangwon,minor,,
Seosang,35.6819,127.6877,3000,1000,500,3000,0,Gyeongnam,minor,,
Baekjeon,35.5534,127.6356,3000,1000,500,3000,0,Gyeongnam,minor,,
Beonam,35.5324,127.5437,3000,1000,500,3000,0,Jeonbuk,minor,,
Hongcheon,37.6926,127.8873,3000,1000,500,3000,0,Gangwon,minor,,
Seoseok,37.7119,128.1871,3000,1000,500,3000,0,Gangwon,minor,,
Cheorwon,38.2092,127.2175,3000,1000,500,3000,0,Gangwon,minor,,
Gwanin,38.1592,127.2493,3000,1000,500,3000,0,Gangwon,minor,,
Sinseo,38.1856,127.1082,3000,1000,500,3000,0,Gyeonggi,minor,,
Gwanchon,35.6746,127.2707,3000,1000,500,3000,0,Jeonbuk,minor,,
Imsil,35.6131,127.2794,3000,1000,500,3000,0,Jeonbuk,minor,,
Gangjin,35.5303,127.1636,3000,1000,500,3000,0,Jeonbuk,minor,,
Sanseo,35.5836,127.3968,3000,1000,500,3000,0,Jeonbuk,minor,,
Seongsu,35.6309,127.3334,3000,1000,500,3000,0,Jeonbuk,minor,,
Bangsan,38.2088,127.9503,3000,1000,500,3000,0,Gangwon,minor,,
Dongmyeon,38.2013,128.0433,3000,1000,500,3000,0,Gangwon,minor,,
Haean,38.2863,128.1377,3000,1000,500,3000,0,Gangwon,minor,,
Hwacheon,38.1071,127.7063,3000,1000,500,3000,0,Gangwon,minor,,
Jangsu,35.6484,127.5152,3000,1000,500,3000,0,Jeonbuk,minor,,
